EST_ID,EST_NAME,ADDRESS,TEL,STATUS,REASON,EST_TYPE,EFF_DATE_FROM,EFF_DATE_TO
39,Midgley School,"Lane Ends, Midgley, Halifax, HX2 6TX",01422 882356,Closed,Snow,SCH,05-Jan-10,05-Jan-10
40,New Road Primary School,"Sowerby New Road, Sowerby Bridge, HX6 1DY",01422 831351,Closed,Snow,SCH,05-Jan-10,
46,Old Town Primary School,"Billy Lane, Wadsworth, Hebden Bridge, HX7 8RY",01422 842859,Closed,Snow,SCH,05-Jan-10,06-Jan-10
108,Ravenscliffe High School and Sports College,"Skircoat Green, Halifax, HX3 0RZ",01422 358621,Closed,Snow,SCH,05-Jan-10,05-Jan-10
106,Ryburn Valley High School,"St Peter'S Avenue, Sowerby Bridge, HX6 1DF",01422 832070,Closed,Snow,SCH,05-Jan-10,
31,Scout Road Academy,"Scout Road, Mytholmroyd, Hebden Bridge, HX7 5JR",01422 883327,Closed,Snow,SCH,05-Jan-10,05-Jan-10
48,Sowerby Village CE (VC) Primary School,"St Peter'S Avenue, Sowerby, Sowerby Bridge, HX6 1HB",01422 831971,Closed,Snow,SCH,05-Jan-10,05-Jan-10
74,St John's CE (VA) Primary School (Rishworth),"Godly Lane, Rishworth, Sowerby Bridge, HX6 4QR",01422 822596,Closed,Snow,SCH,05-Jan-10,05-Jan-10
67,St Malachy's Catholic Primary School,"Furness Place, Illingworth, Halifax, HX2 8JY",01422 244628,Closed,Snow,SCH,05-Jan-10,05-Jan-10
61,St Mary's CE (VC) J & I School (Sowerby Bridge),"Lumb Lane, Mill Bank, Sowerby Bridge, HX6 3EJ",01422 823353,Closed,Snow,SCH,05-Jan-10,
78,St Patrick's Catholic Primary School (Elland),"Hullen Edge Road, Elland, HX5 0QY",01422 373104,Closed,Snow,SCH,05-Jan-10,
88,The Halifax Academy,"Gibbet Street, Halifax, HX2 0BA",01422 301080,Closed,Snow and not enough kitchen staff to provide meals,SCH,05-Jan-10,05-Jan-10
86,Trinity Academy Sowerby Bridge,"Albert Road, Sowerby Bridge, HX6 2NW",01422 831011,Closed,Snow,SCH,05-Jan-10,05-Jan-10
16,Warley Road Primary School,"Warley Road, Halifax, HX1 3TG",01422 353724,Closed,Snow,SCH,05-Jan-10,
107,Wood Bank School,"Dene View, Luddendenfoot, Halifax, HX2 6PB",01422 884170,Closed,Snow,SCH,05-Jan-10,05-Jan-10
56,Ash Green Community Primary School,"Mixenden Road, Mixenden, Halifax, HX2 8QD",01422 244613,Closed,Snow,SCH,06-Jan-10,
21,Bailiffe Bridge J & I School,"Victoria Road, Bailiff Bridge, Brighouse, HD6 4DY",01484 713039,Closed,Snow,SCH,06-Jan-10,
13,Beech Hill School,"Mount Pleasant Avenue, Halifax, HX1 5TN",01422 345004,Closed,Snow,SCH,06-Jan-10,
37,Bolton Brow Primary Academy,"Bolton Brow, Sowerby Bridge, HX6 2BA",01422 831031,Closed,Snow,SCH,06-Jan-10,
30,Calder Primary School,"Brier Hey Lane, Mytholmroyd, Hebden Bridge, HX7 5QN",01422 883213,Closed,Snow,SCH,06-Jan-10,
22,Carr Green Primary School,"Carr Green Lane, Rastrick, Brighouse, HD6 3LT",01484 715969,Closed,Snow,SCH,06-Jan-10,
42,Castle Hill Primary School,"Halifax Road, Todmorden, OL14 5SQ",01706 813163,Closed,Snow,SCH,06-Jan-10,06-Jan-10
59,Christ Church (Pellon) CE (VC) Primary School,"Sandbeds Road, Pellon, Halifax, HX2 0QQ",01422 350792,Closed,Snow,SCH,06-Jan-10,
55,Cross Lane Primary & Nursery School,"Cross Lane, Elland, HX5 0LP",01422 372614,Closed,Snow,SCH,06-Jan-10,
71,"Elland CE (VA) J, I & N School","Westgate, Elland, HX5 0BB",01422 373159,Closed,Snow,SCH,06-Jan-10,
49,Field Lane Primary School,"Burnsall Road, Rastrick, Brighouse, HD6 3JT",01484 713792,Closed,Snow,SCH,06-Jan-10,06-Jan-10
72,Hebden Royd CE (VA) Primary School,"Church Lane, Hebden Bridge, HX7 6DS",01422 842821,Closed,Snow,SCH,06-Jan-10,06-Jan-10
109,Highbury School,"Lower Edge Road, Rastrick, Brighouse, HD6 3LD",01484 716319,Closed,Snow,SCH,06-Jan-10,
82,"Holy Trinity Primary School, a Church of England Academy","Savile Park Road, Halifax, HX1 2ES",01422 367161,Closed,Snow,SCH,06-Jan-10,
27,Holywell Green Primary School,"Stainland Road, Holywell Green, Halifax, HX4 9AE",01422 374369,Closed,Snow,SCH,06-Jan-10,
102,Lightcliffe Academy,"Stoney Lane, Lightcliffe, Halifax, HX3 8TL",01422 201028,Closed,Snow,SCH,06-Jan-10,06-Jan-10
19,"Ling Bob J, I & N School","Albert Road, Pellon, Halifax, HX2 0QD",01422 434000,Closed,Snow,SCH,06-Jan-10,
97,Longroyde Primary School,"Longroyde Road, Rastrick, Brighouse, HD6 3AS",01484 715300,Closed,Snow,SCH,06-Jan-10,06-Jan-10
39,Midgley School,"Lane Ends, Midgley, Halifax, HX2 6TX",01422 882356,Closed,Snow,SCH,06-Jan-10,06-Jan-10
54,Mount Pellon Primary Academy,"Battinson Road, Halifax, HX1 4RG",01422 349618,Closed,Snow,SCH,06-Jan-10,06-Jan-10
40,New Road Primary School,"Sowerby New Road, Sowerby Bridge, HX6 1DY",01422 831351,Closed,Snow,SCH,06-Jan-10,
11,Northowram Primary School,"Baxter Lane, Northowram, Halifax, HX3 7EF",01422 202704,Closed,Snow,SCH,06-Jan-10,
84,Park Lane Academy,"Park Lane, Exley, Halifax, HX3 9LG",01422 362215,Closed,Snow,SCH,06-Jan-10,
108,Ravenscliffe High School and Sports College,"Skircoat Green, Halifax, HX3 0RZ",01422 358621,Closed,Snow,SCH,06-Jan-10,
106,Ryburn Valley High School,"St Peter'S Avenue, Sowerby Bridge, HX6 1DF",01422 832070,Closed,Snow,SCH,06-Jan-10,
90,Salterlee Academy Trust,"Kell Lane, Shibden, Halifax, HX3 7AY",01422 365464,Closed,Snow,SCH,06-Jan-10,
6,Savile Park Primary School,"Moorfield Street, Halifax, HX1 3ER",01422 352844,Closed,Snow,SCH,06-Jan-10,
31,Scout Road Academy,"Scout Road, Mytholmroyd, Hebden Bridge, HX7 5JR",01422 883327,Closed,Snow,SCH,06-Jan-10,
35,Shelf J & I School,"Shelf Hall Lane, Shelf, Halifax, HX3 7LT",01274 676782,Closed,Snow,SCH,06-Jan-10,
58,Siddal Primary School,"Backhold Lane, Siddal, Halifax, HX3 9DL",01422 354976,Closed,Snow,SCH,06-Jan-10,06-Jan-10
48,Sowerby Village CE (VC) Primary School,"St Peter'S Avenue, Sowerby, Sowerby Bridge, HX6 1HB",01422 831971,Closed,Snow,SCH,06-Jan-10,
70,St Andrew's CE (VA) Infant School (Brighouse),"Lightcliffe Road, Brighouse, HD6 2HH",01484 714964,Closed,Snow,SCH,06-Jan-10,06-Jan-10
65,St Augustine's CE (VA) J & I School (Halifax),"Hanson Lane, Halifax, HX1 5PG",01422 360615,Closed,Snow,SCH,06-Jan-10,
74,St John's CE (VA) Primary School (Rishworth),"Godly Lane, Rishworth, Sowerby Bridge, HX6 4QR",01422 822596,Closed,Snow,SCH,06-Jan-10,
80,St Joseph's Catholic Primary School (Brighouse),"Finkil Street, Brighouse, HD6 2NT",01484 713037,Closed,Snow,SCH,06-Jan-10,
66,St Joseph's Catholic Primary School (Halifax),"Portland Road, Halifax, HX3 6LA",01422 360646,Closed,Snow,SCH,06-Jan-10,06-Jan-10
67,St Malachy's Catholic Primary School,"Furness Place, Illingworth, Halifax, HX2 8JY",01422 244628,Closed,Snow,SCH,06-Jan-10,06-Jan-10
68,St Mary's Catholic Primary School (Halifax),"Swires Road, Halifax, HX1 2ER",01422 362365,Closed,Snow,SCH,06-Jan-10,
92,St Michael & All Angels CE Primary School,"Meadow Close, Greenacres, Shelf, Halifax, HX3 7QU",01274 676246,Closed,Snow,SCH,06-Jan-10,
78,St Patrick's Catholic Primary School (Elland),"Hullen Edge Road, Elland, HX5 0QY",01422 373104,Closed,Snow,SCH,06-Jan-10,
99,The Crossley Heath School,"Savile Park, Halifax, HX3 OHG",01422 360272,Closed,Snow,SCH,06-Jan-10,
25,The Greetland Academy,"(Main School), Rochdale Road, Greetland, Halifax, HX4 8JB",01422 372893,Closed,Snow,SCH,06-Jan-10,06-Jan-10
88,The Halifax Academy,"Gibbet Street, Halifax, HX2 0BA",01422 301080,Closed,Snow,SCH,06-Jan-10,06-Jan-10
98,The North Halifax Grammar School,"Illingworth, Halifax, HX2 9SU",01422 244625,Closed,Snow,SCH,06-Jan-10,06-Jan-10
87,"Todmorden High School, Specialist Visual Arts College","Ewood Lane, Todmorden, OL14 7DG",01706 813558,Closed,Snow,SCH,06-Jan-10,
63,Triangle CE (VC) Primary School,"Butterworth Lane, Triangle, Sowerby Bridge, HX6 3NJ",01422 831558,Closed,Snow,SCH,06-Jan-10,
101,Trinity Academy Halifax,"Shay Lane, Holmfield, Halifax, HX2 9TZ",01422 244890,Closed,Snow,SCH,06-Jan-10,
86,Trinity Academy Sowerby Bridge,"Albert Road, Sowerby Bridge, HX6 2NW",01422 831011,Closed,Snow,SCH,06-Jan-10,
41,Tuel Lane Infant School,"Clay Street, Sowerby Bridge, HX6 2ND",01422 831221,Closed,Snow,SCH,06-Jan-10,
15,Wainstalls School,"Wainstalls, Halifax, HX2 7TE",01422 244804,Closed,Snow,SCH,06-Jan-10,
424,Walsden St Peter's CE (VC) Primary School,"Rochdale Road, Todmorden, OL14 6RN",01706 812947,Closed,Snow,SCH,06-Jan-10,
16,Warley Road Primary School,"Warley Road, Halifax, HX1 3TG",01422 353724,Closed,Snow,SCH,06-Jan-10,
17,Warley Town School,"Dark Lane, Warley, Halifax, HX2 7SD",01422 831592,Closed,Snow,SCH,06-Jan-10,
95,West Vale Primary School,"Stainland Road, Greetland, Halifax, HX4 8LS",01422 372804,Closed,Snow,SCH,06-Jan-10,
18,Whitehill Community Academy 3-11,"Occupation Lane, Illingworth, Halifax, HX2 9RL",01422 244471,Closed,Snow,SCH,06-Jan-10,06-Jan-10
107,Wood Bank School,"Dene View, Luddendenfoot, Halifax, HX2 6PB",01422 884170,Closed,Snow,SCH,06-Jan-10,
50,Woodhouse Primary School,"Daisy Road, Brighouse, HD6 3SX",01484 714750,Closed,Snow,SCH,06-Jan-10,
13,Beech Hill School,"Mount Pleasant Avenue, Halifax, HX1 5TN",01422 345004,Closed,Snow,SCH,07-Jan-10,
37,Bolton Brow Primary Academy,"Bolton Brow, Sowerby Bridge, HX6 2BA",01422 831031,Closed,Snow,SCH,07-Jan-10,
85,"Calder High School, A Specialist Technology College","Brier Hey Lane, Mytholmroyd, Hebden Bridge, HX7 5QN",01422 883213,Closed,Snow,SCH,07-Jan-10,
109,Highbury School,"Lower Edge Road, Rastrick, Brighouse, HD6 3LD",01484 716319,Closed,Snow,SCH,07-Jan-10,
102,Lightcliffe Academy,"Stoney Lane, Lightcliffe, Halifax, HX3 8TL",01422 201028,Closed,Snow,SCH,07-Jan-10,07-Jan-10
97,Longroyde Primary School,"Longroyde Road, Rastrick, Brighouse, HD6 3AS",01484 715300,Closed,Health and safety,SCH,07-Jan-10,07-Jan-10
279,Moorside Community Primary School,"Keighley Road, Ovenden, Halifax, HX2 8AP",01422 365236,Closed,Snow,SCH,07-Jan-10,
40,New Road Primary School,"Sowerby New Road, Sowerby Bridge, HX6 1DY",01422 831351,Closed,Snow,SCH,07-Jan-10,
11,Northowram Primary School,"Baxter Lane, Northowram, Halifax, HX3 7EF",01422 202704,Closed,Snow,SCH,07-Jan-10,
84,Park Lane Academy,"Park Lane, Exley, Halifax, HX3 9LG",01422 362215,Closed,Snow,SCH,07-Jan-10,
108,Ravenscliffe High School and Sports College,"Skircoat Green, Halifax, HX3 0RZ",01422 358621,Closed,Transport unable to safely collect students and access school,SCH,07-Jan-10,
106,Ryburn Valley High School,"St Peter'S Avenue, Sowerby Bridge, HX6 1DF",01422 832070,Closed,Snow,SCH,07-Jan-10,
35,Shelf J & I School,"Shelf Hall Lane, Shelf, Halifax, HX3 7LT",01274 676782,Closed,Snow,SCH,07-Jan-10,
58,Siddal Primary School,"Backhold Lane, Siddal, Halifax, HX3 9DL",01422 354976,Partly closed,Snow,SCH,07-Jan-10,
48,Sowerby Village CE (VC) Primary School,"St Peter'S Avenue, Sowerby, Sowerby Bridge, HX6 1HB",01422 831971,Closed,Snow,SCH,07-Jan-10,
69,St Andrew's CE (VA) Junior School (Brighouse),"Waterloo Road, Brighouse, HD6 2AN",01484 712895,Closed,Snow,SCH,07-Jan-10,07-Jan-10
103,The Brooksbank School Sports College,"Victoria Road, Elland, HX5 OQG",01422 374791,Partly closed,Snow,SCH,07-Jan-10,
88,The Halifax Academy,"Gibbet Street, Halifax, HX2 0BA",01422 301080,Closed,Snow,SCH,07-Jan-10,07-Jan-10
98,The North Halifax Grammar School,"Illingworth, Halifax, HX2 9SU",01422 244625,Closed,Snow,SCH,07-Jan-10,07-Jan-10
87,"Todmorden High School, Specialist Visual Arts College","Ewood Lane, Todmorden, OL14 7DG",01706 813558,Partly closed,health & safety risk ,SCH,07-Jan-10,07-Jan-10
101,Trinity Academy Halifax,"Shay Lane, Holmfield, Halifax, HX2 9TZ",01422 244890,Closed,Snow,SCH,07-Jan-10,
86,Trinity Academy Sowerby Bridge,"Albert Road, Sowerby Bridge, HX6 2NW",01422 831011,Closed,Snow,SCH,07-Jan-10,
18,Whitehill Community Academy 3-11,"Occupation Lane, Illingworth, Halifax, HX2 9RL",01422 244471,Closed,Snow,SCH,07-Jan-10,07-Jan-10
107,Wood Bank School,"Dene View, Luddendenfoot, Halifax, HX2 6PB",01422 884170,Closed,Snow,SCH,07-Jan-10,
104,Brighouse High School,"Finkil Street, Brighouse, HD6 2NY",01484 710408,Partly closed,treacherous conditions around site,SCH,08-Jan-10,
85,"Calder High School, A Specialist Technology College","Brier Hey Lane, Mytholmroyd, Hebden Bridge, HX7 5QN",01422 883213,Closed,Snow,SCH,08-Jan-10,
109,Highbury School,"Lower Edge Road, Rastrick, Brighouse, HD6 3LD",01484 716319,Closed,Transport difficulties due to ice and snow.,SCH,08-Jan-10,
102,Lightcliffe Academy,"Stoney Lane, Lightcliffe, Halifax, HX3 8TL",01422 201028,Closed,Snow,SCH,08-Jan-10,
40,New Road Primary School,"Sowerby New Road, Sowerby Bridge, HX6 1DY",01422 831351,Closed,Snow,SCH,08-Jan-10,
108,Ravenscliffe High School and Sports College,"Skircoat Green, Halifax, HX3 0RZ",01422 358621,Partly closed,Transport difficulties due to icy road conditions,SCH,08-Jan-10,
106,Ryburn Valley High School,"St Peter'S Avenue, Sowerby Bridge, HX6 1DF",01422 832070,Partly closed,Snow,SCH,08-Jan-10,
79,Sacred Heart Catholic Primary School (Sowerby Bridge),"St Peter'S Avenue, Sowerby Bridge, HX6 1BL",01422 831360,Closed,Snow,SCH,08-Jan-10,
88,The Halifax Academy,"Gibbet Street, Halifax, HX2 0BA",01422 301080,Closed,Snow,SCH,08-Jan-10,08-Jan-10
101,Trinity Academy Halifax,"Shay Lane, Holmfield, Halifax, HX2 9TZ",01422 244890,Partly closed,Snow,SCH,08-Jan-10,
86,Trinity Academy Sowerby Bridge,"Albert Road, Sowerby Bridge, HX6 2NW",01422 831011,Partly closed,Snow,SCH,08-Jan-10,08-Jan-10
107,Wood Bank School,"Dene View, Luddendenfoot, Halifax, HX2 6PB",01422 884170,Partly closed,Snow,SCH,08-Jan-10,
73,Barkisland CE (VA) Primary School,"Scammonden Road, Barkisland, Halifax, HX4 0BD",01422 823324,Closed,Snow,SCH,11-Jan-10,
24,Bowling Green Primary School,"Stainland, Halifax, HX4 9HU",01422 374863,Closed,Heating/plumbing problems,SCH,11-Jan-10,
30,Calder Primary School,"Brier Hey Lane, Mytholmroyd, Hebden Bridge, HX7 5QN",01422 883213,Closed,Snow,SCH,11-Jan-10,11-Jan-10
5,Dean Field Community Primary School,"Cousin Lane, Ovenden, Halifax, HX2 8DQ",01422 258258,Partly closed,Snow,SCH,11-Jan-10,
109,Highbury School,"Lower Edge Road, Rastrick, Brighouse, HD6 3LD",01484 716319,Closed,Snow,SCH,11-Jan-10,
102,Lightcliffe Academy,"Stoney Lane, Lightcliffe, Halifax, HX3 8TL",01422 201028,Partly closed,Snow,SCH,11-Jan-10,
94,Lightcliffe CE Primary School,"Wakefield Road, Lightcliffe, Halifax, HX3 8SH",01422 202235,Closed,Snow,SCH,11-Jan-10,
279,Moorside Community Primary School,"Keighley Road, Ovenden, Halifax, HX2 8AP",01422 365236,Closed,Snow,SCH,11-Jan-10,
40,New Road Primary School,"Sowerby New Road, Sowerby Bridge, HX6 1DY",01422 831351,Partly closed,Snow,SCH,11-Jan-10,
84,Park Lane Academy,"Park Lane, Exley, Halifax, HX3 9LG",01422 362215,Closed,Snow,SCH,11-Jan-10,
108,Ravenscliffe High School and Sports College,"Skircoat Green, Halifax, HX3 0RZ",01422 358621,Partly closed,safety and transport difficulties on minor roads,SCH,11-Jan-10,11-Jan-10
58,Siddal Primary School,"Backhold Lane, Siddal, Halifax, HX3 9DL",01422 354976,Closed,Snow,SCH,11-Jan-10,
70,St Andrew's CE (VA) Infant School (Brighouse),"Lightcliffe Road, Brighouse, HD6 2HH",01484 714964,Closed,Snow,SCH,11-Jan-10,
69,St Andrew's CE (VA) Junior School (Brighouse),"Waterloo Road, Brighouse, HD6 2AN",01484 712895,Closed,Snow,SCH,11-Jan-10,11-Jan-10
74,St John's CE (VA) Primary School (Rishworth),"Godly Lane, Rishworth, Sowerby Bridge, HX6 4QR",01422 822596,Closed,Snow,SCH,11-Jan-10,
78,St Patrick's Catholic Primary School (Elland),"Hullen Edge Road, Elland, HX5 0QY",01422 373104,Closed,Snow,SCH,11-Jan-10,
88,The Halifax Academy,"Gibbet Street, Halifax, HX2 0BA",01422 301080,Closed,Snow,SCH,11-Jan-10,11-Jan-10
98,The North Halifax Grammar School,"Illingworth, Halifax, HX2 9SU",01422 244625,Partly closed,Snow,SCH,11-Jan-10,
86,Trinity Academy Sowerby Bridge,"Albert Road, Sowerby Bridge, HX6 2NW",01422 831011,Partly closed,Snow,SCH,11-Jan-10,11-Jan-10
15,Wainstalls School,"Wainstalls, Halifax, HX2 7TE",01422 244804,Closed,Snow,SCH,11-Jan-10,
107,Wood Bank School,"Dene View, Luddendenfoot, Halifax, HX2 6PB",01422 884170,Partly closed,Snow,SCH,11-Jan-10,
2,Ferney Lee Primary School,"Ferney Lee Road, Todmorden, OL14 5NR",01706 812412,Closed,Snow,SCH,12-Jan-10,
108,Ravenscliffe High School and Sports College,"Skircoat Green, Halifax, HX3 0RZ",01422 358621,Partly closed,road and weather conditions,SCH,12-Jan-10,
91,All Saints' CE (VA) J & I School,"Dudwell Lane, Halifax, HX3 0SD",01422 367140,Closed,BLACK ICE,SCH,13-Jan-10,
28,Burnley Road Academy,"Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5DE",01422 883034,Closed,Icy Conditions Underfoot and Buses Cancelled,SCH,13-Jan-10,
85,"Calder High School, A Specialist Technology College","Brier Hey Lane, Mytholmroyd, Hebden Bridge, HX7 5QN",01422 883213,Closed,Severe icy conditions,SCH,13-Jan-10,
42,Castle Hill Primary School,"Halifax Road, Todmorden, OL14 5SQ",01706 813163,Closed,Snow,SCH,13-Jan-10,
55,Cross Lane Primary & Nursery School,"Cross Lane, Elland, HX5 0LP",01422 372614,Closed,Ice and staff injuries due to slipping,SCH,13-Jan-10,
71,"Elland CE (VA) J, I & N School","Westgate, Elland, HX5 0BB",01422 373159,Closed,Icy Road Conditions,SCH,13-Jan-10,13-Jan-10
49,Field Lane Primary School,"Burnsall Road, Rastrick, Brighouse, HD6 3JT",01484 713792,Closed,severe black ice on roads and footpaths,SCH,13-Jan-10,13-Jan-10
33,"Heptonstall J, I & N School","Smithwell Lane, Heptonstall, Hebden Bridge, HX7 7NX",01422 842533,Closed,Snow,SCH,13-Jan-10,13-Jan-10
109,Highbury School,"Lower Edge Road, Rastrick, Brighouse, HD6 3LD",01484 716319,Closed,Snow,SCH,13-Jan-10,
102,Lightcliffe Academy,"Stoney Lane, Lightcliffe, Halifax, HX3 8TL",01422 201028,Partly closed,Snow,SCH,13-Jan-10,
94,Lightcliffe CE Primary School,"Wakefield Road, Lightcliffe, Halifax, HX3 8SH",01422 202235,Closed,Ice on roads makes travelling too dangerous.,SCH,13-Jan-10,
64,Luddenden CE (VC) School,"Dene View, Luddendenfoot, Halifax, HX2 6PB",01422 886353,Closed,Snow,SCH,13-Jan-10,
38,Luddendenfoot Academy,"Burnley Road, Luddendenfoot, Halifax, HX2 6AU",01422 882298,Closed,Snow,SCH,13-Jan-10,
40,New Road Primary School,"Sowerby New Road, Sowerby Bridge, HX6 1DY",01422 831351,Closed,Black ice ,SCH,13-Jan-10,
46,Old Town Primary School,"Billy Lane, Wadsworth, Hebden Bridge, HX7 8RY",01422 842859,Closed,Heating/plumbing problems,SCH,13-Jan-10,
84,Park Lane Academy,"Park Lane, Exley, Halifax, HX3 9LG",01422 362215,Closed,Snow,SCH,13-Jan-10,
108,Ravenscliffe High School and Sports College,"Skircoat Green, Halifax, HX3 0RZ",01422 358621,Closed,"Health and safety, due to treacherous road conditions, black ice",SCH,13-Jan-10,13-Jan-10
106,Ryburn Valley High School,"St Peter'S Avenue, Sowerby Bridge, HX6 1DF",01422 832070,Closed,Snow,SCH,13-Jan-10,
79,Sacred Heart Catholic Primary School (Sowerby Bridge),"St Peter'S Avenue, Sowerby Bridge, HX6 1BL",01422 831360,Closed,Snow,SCH,13-Jan-10,
14,Salterhebble J & I School,"Stafford Square, Halifax, HX3 0AU",01422 252004,Closed,Treacherous travel conditions,SCH,13-Jan-10,
90,Salterlee Academy Trust,"Kell Lane, Shibden, Halifax, HX3 7AY",01422 365464,Closed,Black ice on Kell Lane - too dangerous for the walking bus,SCH,13-Jan-10,
31,Scout Road Academy,"Scout Road, Mytholmroyd, Hebden Bridge, HX7 5JR",01422 883327,Closed,Severe icey conditions on roads and pathways around school,SCH,13-Jan-10,
58,Siddal Primary School,"Backhold Lane, Siddal, Halifax, HX3 9DL",01422 354976,Closed,Severe black ice,SCH,13-Jan-10,
48,Sowerby Village CE (VC) Primary School,"St Peter'S Avenue, Sowerby, Sowerby Bridge, HX6 1HB",01422 831971,Closed,"Treacherous, icy conditions",SCH,13-Jan-10,
66,St Joseph's Catholic Primary School (Halifax),"Portland Road, Halifax, HX3 6LA",01422 360646,Closed,Snow,SCH,13-Jan-10,13-Jan-10
67,St Malachy's Catholic Primary School,"Furness Place, Illingworth, Halifax, HX2 8JY",01422 244628,Closed,Snow,SCH,13-Jan-10,
103,The Brooksbank School Sports College,"Victoria Road, Elland, HX5 OQG",01422 374791,Partly closed,Icy conditions,SCH,13-Jan-10,13-Jan-10
98,The North Halifax Grammar School,"Illingworth, Halifax, HX2 9SU",01422 244625,Closed,Very icy conditions on roads.,SCH,13-Jan-10,
101,Trinity Academy Halifax,"Shay Lane, Holmfield, Halifax, HX2 9TZ",01422 244890,Closed,Ice,SCH,13-Jan-10,
86,Trinity Academy Sowerby Bridge,"Albert Road, Sowerby Bridge, HX6 2NW",01422 831011,Partly closed,Snow,SCH,13-Jan-10,13-Jan-10
41,Tuel Lane Infant School,"Clay Street, Sowerby Bridge, HX6 2ND",01422 831221,Closed,Snow,SCH,13-Jan-10,
16,Warley Road Primary School,"Warley Road, Halifax, HX1 3TG",01422 353724,Closed,Snow,SCH,13-Jan-10,
95,West Vale Primary School,"Stainland Road, Greetland, Halifax, HX4 8LS",01422 372804,Closed,ICE,SCH,13-Jan-10,13-Jan-10
107,Wood Bank School,"Dene View, Luddendenfoot, Halifax, HX2 6PB",01422 884170,Closed,black ice on access roads,SCH,13-Jan-10,
85,"Calder High School, A Specialist Technology College","Brier Hey Lane, Mytholmroyd, Hebden Bridge, HX7 5QN",01422 883213,Partly closed,Severe icy conditions ,SCH,14-Jan-10,
55,Cross Lane Primary & Nursery School,"Cross Lane, Elland, HX5 0LP",01422 372614,Closed,Ice and staff injuries due to slipping,SCH,14-Jan-10,
109,Highbury School,"Lower Edge Road, Rastrick, Brighouse, HD6 3LD",01484 716319,Closed,Adverse weather,SCH,14-Jan-10,
40,New Road Primary School,"Sowerby New Road, Sowerby Bridge, HX6 1DY",01422 831351,Closed,Snow,SCH,14-Jan-10,
12,Parkinson Lane Community Primary School,"Parkinson Lane, Halifax, HX1 3XL",01422 362227,Closed,Snow,SCH,14-Jan-10,
108,Ravenscliffe High School and Sports College,"Skircoat Green, Halifax, HX3 0RZ",01422 358621,Partly closed,Treacherous road conditions off main roads,SCH,14-Jan-10,
36,Ripponden J & I School,"Halifax Road, Ripponden, Sowerby Bridge, HX6 4AH",01422 823362,Closed,"Treacherous, icy conditions",SCH,14-Jan-10,
106,Ryburn Valley High School,"St Peter'S Avenue, Sowerby Bridge, HX6 1DF",01422 832070,Partly closed,Ice and snow creating dangerous conditions on site and in the vicinity.,SCH,14-Jan-10,
